ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0CR1B3BYT,KC4SGE05000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR42YFR6,KC4SGE04700,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2FJJY,KC4PSP18100,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2FJK9,KC4SGE04600,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2NSNX,KC4SGE05200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2W852,KC4PSP16800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,10.61,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2YR83,KC4PSP18200,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB38T48,KC4SGE03000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,6.33,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB3J8ZW,KC4PSP16600,2026-W35,2026-W34,1.0,0.0,N/A,863.6,0.0,N/A,5.65,15.17,0.65,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB3RHZ2,KC4SGE01500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB4BLSY,KC4SGE02500,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRRMW2TY,KC4PSP17000,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRYDP6CQ,KC4SGE01800,2026-W35,2026-W34,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
