年月,ASIN,SKU,售价,出库销量,出库销售额,采购成本,头程,佣金,税费,仓储费,Coupon预留(5%),尾程费(参考未计主线),广告花费,平衡ACOS%,目标ACOS%,当前ACOS%,含尾程保守平衡ACOS%,状态
2026-08,B0DSZWN9RL,KX4SGE08900,1271.6,8.0,10172.8,4301.95,312.47,2146.46,596.23,367.57,508.64,0.0,162.06,19.07,14.07,1.59,19.07,可增投
2026-08,B0DWMV3RPH,PT4SGE22200,922.33,11.0,10145.6,4167.58,601.79,2140.72,581.97,362.88,507.28,0.0,266.85,17.58,12.58,2.63,17.58,可增投
2026-08,B0G7J4KXT9,KC4SGE00900,1685.58,6.0,10113.5,4032.26,247.69,2133.95,567.53,241.54,505.68,0.0,86.64,23.58,18.58,0.86,23.58,可增投
2026-08,B0GR31KW4H,KX4SGE07700,1883.6,5.0,9418.0,3954.81,258.85,1987.2,549.11,182.41,470.9,0.0,130.1,21.39,16.39,1.38,21.39,可增投
2026-08,B0GSCKK336,OO4SGE37700,1326.0,7.0,9282.0,3424.42,185.21,1958.5,492.37,288.71,464.1,0.0,58.42,26.6,21.6,0.63,26.6,可增投
2026-08,B0F671NLKP,KC4PSP18200,1156.0,8.0,9248.0,3632.28,586.44,1951.33,513.3,394.47,462.4,0.0,148.46,18.47,13.47,1.61,18.47,可增投
2026-08,B0GCM51F8V,KC4PSP16600,829.6,11.0,9125.6,4983.14,262.86,1925.5,650.77,292.61,456.28,0.0,50.32,6.08,1.08,0.55,6.08,可增投
2026-08,B0DWMSG3ML,KX4SGE15200,1094.8,8.0,8758.4,4020.95,183.52,1848.02,546.04,235.75,437.92,0.0,253.93,16.97,11.97,2.9,16.97,可增投
2026-08,B0DPQLYGNY,KC4PSP17600,1081.2,8.0,8649.6,3938.7,161.86,1825.07,535.92,230.16,432.48,0.0,197.01,17.64,12.64,2.28,17.64,可增投
2026-08,B0GQZL8DZD,KC4SGE00900,1686.4,5.0,8432.0,3360.21,206.41,1779.15,473.0,201.28,421.6,0.0,74.06,23.6,18.6,0.88,23.6,可增投
2026-08,B0CN142XPS,KC4PSP16000,930.17,9.0,8371.55,4164.34,480.26,1766.4,555.02,353.92,418.58,0.0,11.56,7.56,2.56,0.14,7.56,可增投
2026-08,B0DPCXJTLG,KC4PSP18200,1162.8,7.0,8139.6,3178.24,513.13,1717.46,449.85,345.16,406.98,0.0,216.87,18.78,13.78,2.66,18.78,可增投
2026-08,B0DWMW2718,PT4SGE19700,729.16,11.0,8020.8,2716.17,173.68,1692.39,400.42,347.51,401.04,0.0,713.79,28.55,23.55,8.9,28.55,可增投
2026-08,B0GQZL4118,KX4SGE11700,1108.4,7.0,7758.8,2972.7,270.01,1637.11,422.94,176.36,387.94,0.0,82.76,24.38,19.38,1.07,24.38,可增投
2026-08,B0H6WM22T1,KC4PSP16600,849.93,9.0,7649.39,4077.11,215.07,1614.02,535.19,239.41,382.47,0.0,100.92,7.66,2.66,1.32,7.66,可增投
2026-08,B0F66Y1ZRR,KC4SGE02700,952.0,8.0,7616.0,3338.14,306.22,1606.98,458.49,303.09,380.8,0.0,59.71,16.05,11.05,0.78,16.05,可增投
2026-08,B0CX4W95SD,KC4PSP16900,1077.05,7.0,7539.36,3812.33,224.04,1590.81,506.24,191.03,376.97,0.0,5.58,11.11,6.11,0.07,11.11,可增投
2026-08,B0DPCWYNV6,KC4SGE02500,1074.4,7.0,7520.8,3322.49,199.31,1586.89,455.44,213.43,376.04,0.0,506.17,18.18,13.18,6.73,18.18,可增投
2026-08,B0DPMWTLZB,KC4PSP15900,912.76,8.0,7302.11,3316.83,170.93,1540.75,451.58,256.9,365.11,0.0,216.94,16.43,11.43,2.97,16.43,可增投
2026-08,B0DPCXHB93,KX4SGE08400,1026.8,7.0,7187.6,3083.27,177.53,1516.58,425.78,218.25,359.38,0.0,212.04,19.57,14.57,2.95,19.57,可增投
2026-08,B0DPCX7QHQ,KX4SGE10900,1190.0,6.0,7140.0,3114.28,194.27,1506.54,428.26,228.21,357.0,0.0,86.98,18.37,13.37,1.22,18.37,可增投
2026-08,B0DPCWQQCS,KC4SGE03400,1007.69,7.0,7053.84,2612.94,146.62,1488.36,375.27,166.18,352.69,0.0,597.77,27.1,22.1,8.47,27.1,可增投
2026-08,B0DSDNHMWF,KX4SGE07700,1760.72,4.0,7042.9,3163.85,207.08,1486.05,431.92,145.93,352.14,0.0,45.7,17.83,12.83,0.65,17.83,可增投
