ASIN,掉量起点,前14天日均销量,判定状态,规则
B0H6WNHXW2,2026-08-24,0.57,已识别,连续3天低于前14天日均销量的50%
B0H6WP99DL,2026-08-24,0.21,已识别,连续3天低于前14天日均销量的50%
B0H6WPMXL9,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6WQM9V9,2026-08-21,0.14,已识别,连续3天低于前14天日均销量的50%
B0H6WR728V,2026-08-21,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6XBB7RD,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0H6XDL6SG,2026-08-23,0.5,已识别,连续3天低于前14天日均销量的50%
B0H9LKTWFJ,2026-08-23,0.07,观察期未满,连续3天低于前14天日均销量的50%
B0H9LN8C77,2026-08-23,0.21,已识别,连续3天低于前14天日均销量的50%
B0H9LR1FFX,2026-08-22,0.64,已识别,连续3天低于前14天日均销量的50%
B0H9LR7JC8,2026-08-22,0.14,已识别,连续3天低于前14天日均销量的50%
B0H9PZ5PBR,2026-08-22,0.07,已识别,连续3天低于前14天日均销量的50%
B0H9Q8M69P,2026-08-23,0.07,已识别,连续3天低于前14天日均销量的50%
B0HDCB6XRT,,,未识别,连续3天低于前14天日均销量的50%
