ASIN,SKU集合,上周,上上周,上周单量,上上周单量,单量环比%,上周销售额,上上周销售额,销售额环比%,上周广告花费,上上周广告花费,上周毛利润-实际,上上周毛利润-实际,上周毛利率%,上上周毛利率%,毛利率环比%,上周TACOS%,上上周TACOS%,TACOS环比%,预警标记,需补充广告指标
B0CQYV24BD,KC4PSP18000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYVJJLW,KC4PSP17100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CQYVR54J,KC4SGE01600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR18HZJC,KC4SGE05300,2026-W36,2026-W35,1.0,0.0,N/A,654.02,0.0,N/A,2.04,7.89,109.01,-7.89,16.67,,,0.31,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR18XR8H,KC4SGE04300,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR18XSVX,KC4SGE05200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR1B3BYT,KC4SGE05000,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CR42YFR6,KC4SGE04700,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2FJJY,KC4PSP18100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2FJK9,KC4SGE04600,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2NSNX,KC4SGE05200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,-3.64,-12.73,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2W852,KC4PSP16800,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,4.76,10.61,-4.76,-10.61,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB2YR83,KC4PSP18200,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
B0CRB34Y8V,KC4PSP16100,2026-W36,2026-W35,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,曝光/点击/CTR/CVR/ACOS/ROAS/活动清单
